
="",="(1)",="(2)",="(3)"
="",="ind",="ind",="ind"

="ind",="",="",=""
="perind21std",="0.048***",="0.079***",="0.085***"
="",="(0.010)",="(0.006)",="(0.006)"

="0bn.speak",=".",=".",="."
="",=".",=".",="."

="1.speak",="0.189***",="0.215***",="0.216***"
="",="(0.016)",="(0.015)",="(0.015)"

="0bn.speak#c.perind21std",=".",="",=""
="",=".",="",=""

="1.speak#c.perind21std",="0.050***",="",=""
="",="(0.011)",="",=""

="1bn.wave",=".",=".",="."
="",=".",=".",="."

="2.wave",="0.065**",="0.065**",="0.065**"
="",="(0.021)",="(0.021)",="(0.021)"

="3.wave",="0.076***",="0.076***",="0.075***"
="",="(0.020)",="(0.020)",="(0.020)"

="difses",="0.002",="0.002",="0.002"
="",="(0.015)",="(0.015)",="(0.015)"

="m_anesc",="0.000",="-0.000",="0.000"
="",="(0.002)",="(0.002)",="(0.002)"

="difed",="-0.013",="-0.013",="-0.013"
="",="(0.008)",="(0.008)",="(0.008)"

="ses_std",="-0.022***",="0.010",="-0.027***"
="",="(0.005)",="(0.007)",="(0.005)"

="edad",="0.001",="0.001",="0.001"
="",="(0.002)",="(0.002)",="(0.002)"

="c.edad#c.edad",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)"

="female",="-0.021*",="-0.021*",="-0.021*"
="",="(0.010)",="(0.010)",="(0.010)"

="1bn.region",=".",=".",="."
="",=".",=".",="."

="2.region",="0.048***",="0.054***",="0.062***"
="",="(0.013)",="(0.012)",="(0.012)"

="3.region",="-0.004",="0.002",="0.010"
="",="(0.014)",="(0.014)",="(0.014)"

="0bn.speak#c.ses_std",="",=".",=""
="",="",=".",=""

="1.speak#c.ses_std",="",="-0.045***",=""
="",="",="(0.008)",=""

="_cons",="0.293***",="0.292***",="0.273***"
="",="(0.046)",="(0.045)",="(0.045)"

="lns1_1_1",="",="",=""
="_cons",="-10.627",="-10.377",="-4.829"
="",="(128.115)",="(212.134)",="(9.390)"

="lnsig_e",="",="",=""
="_cons",="-0.830***",="-0.829***",="-0.828***"
="",="(0.008)",="(0.008)",="(0.008)"

="N",="7865",="7865",="7865"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
