"","folio","factor_b2","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"1",1000,2385,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"2",2000,2385,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"3",3000,2385,"0","0","0","1","1","0","0","1","1","1","1","0","1","1"
"4",4000,2385,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"5",6000,2385,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"6",8000,2385,"0","0","0","1","1","1","1","0","1","1","1","1","1","1"
"7",10000,1381,"0","0","0","0","0","1","0","0","0","0","1","0","1","1"
"8",11000,1381,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"9",12000,1381,"0","0","0","1","0","0","0","1","1","1","1","1","1","1"
"10",13000,1381,"0","0","0","1","1","1","0","1","0","1","1","1","1","1"
"11",14000,1381,"0","0","0","1","1","1","0","1","1","1","1","0","1","2"
"12",16000,1381,"0","0","0","1","1","0","0","0","0","1","1","1","1","1"
"13",17000,1381,"0","0","1","1","1","1","0","1","1","1","1","1","1","3"
"14",18000,1381,"0","1","0","1","0","1","0","1","0","1","1","0","1","1"
"15",20000,994,"0","0","0","0","0","1","0","0","0","1","1","1","0","1"
"16",21000,994,"0","1","0","1","1","1","0","0","0","1","1","1","1","2"
"17",22000,994,"1","1","0","1","1","1","0","1","1","1","1","1","1","1"
"18",23000,994,"0","1","0","1","1","1","0","1","0","1","1","1","1","2"
"19",24000,994,"1","1","1","1","1","1","0","1","1","0","1","1","1","2"
"20",25000,994,"1","1","0","1","1","1","0","1","1","0","1","0","1","3"
"21",26000,994,"1","1","1","1","1","1","0","1","1","1","1","0","1","3"
"22",27000,994,"0","1","0","1","0","1","0","1","1","1","1","1","1","2"
"23",28000,994,"0","0","0","1","0","1","0","0","0","0","1","1","1","1"
"24",29000,994,"0","0","0","1","1","1","0","1","1","1","1","1","0","2"
"25",30000,994,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"26",33000,994,"0","0","0","1","1","1","0","0","1","1","1","1","1","1"
"27",34000,994,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
