"","folio","foliow1","fac_2l","ah03b","ah03c","ah03d","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"1","00001000","00001000",2449,"0","1","0","0","1","0","1","1","1","1","1","1","0","1"
"2","00001003","00001000",2449,"0","0","1","1","1","1","0","0","0","0","1","1","1","1"
"3","00002000","00002000",2449,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"4","00003000","00003000",2449,"0","1","0","1","1","1","0","1","1","1","1","1","1","1"
"5","00004000","00004000",2449,"0","1","1","1","1","1","0","1","1","1","1","1","1","2"
"6","00006000","00006000",2449,"0","1","1","1","1","1","0","1","1","0","1","1","1","3"
"7","00007000","00007000",2449,"0","1","0","1","1","1","0","1","0","1","1","1","1","2"
"8","00008000","00008000",2449,"1","1","1","1","1","1","1","0","1","1","1","1","1","2"
"9","00010000","00010000",1418,"0","0","1","1","0","1","0","0","0","1","1","0","0","1"
"10","00011000","00011000",1418,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"11","00012000","00012000",1418,"0","1","0","1","0","1","1","1","1","1","1","1","0","1"
"12","00013000","00013000",1418,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"13","00014000","00014000",1418,"0","0","0","1","0","1","0","1","0","1","1","1","1","2"
"14","00016000","00016000",1418,"0","0","0","1","1","1","0","1","1","0","1","1","0","1"
"15","00017000","00017000",1418,"0","0","1","1","1","1","0","1","0","0","1","1","0","3"
"16","00018000","00018000",1418,"0","0","0","1","1","0","0","1","0","0","1","0","0","1"
"17","00019000","00019000",1021,"0","1","0","0","1","0","0","0","0","0","0","1","0","1"
"18","00020000","00020000",1021,"0","0","0","1","0","1","0","0","0","1","1","1","0","1"
"19","00021000","00021000",1021,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"20","00022000","00022000",1021,"1","0","0","1","1","0","0","1","1","1","1","1","1","3"
"21","00023000","00023000",1021,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"22","00024000","00024000",1021,"1","1","1","1","1","1","1","1","1","0","1","1","1","3"
"23","00025000","00025000",1021,"0","0","1","1","1","1","0","1","1","1","1","0","1","3"
"24","00025004","00025000",1021,"0","0","0","1","1","1","0","1","1","0","1","0","0","1"
"25","00025006","00025000",1021,"0","0","0","1","0","0","1","0","0","0","1","0","0","1"
"26","00025007","00025000",1021,"0","0","0","1","0","1","1","1","1","1","1","1","1","1"
"27","00026000","00026000",1021,"1","0","1","1","1","1","1","1","1","1","1","1","1","3"
"28","00027000","00027000",1021,"0","1","1","1","1","1","0","1","1","1","1","0","1","3"
"29","00028000","00028000",1021,"0","1","0","1","1","1","0","0","0","0","1","1","1","3"
"30","00029000","00029000",1021,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"31","00030000","00030000",1021,"1","1","1","1","1","1","0","1","1","1","1","1","1","3"
"32","00033000","00033000",1021,"0","0","0","1","1","1","0","1","0","0","1","1","0","1"
"33","00034000","00034000",1021,"0","1","0","1","1","1","0","1","1","1","1","1","1","1"
"34","00035000","00035000",1021,"0","1","0","1","0","1","0","1","1","0","1","1","0","3"
"35","00037000","00037000",787,"1","1","1","1","1","1","0","1","1","1","1","1","1","3"
"36","00037005","00037000",787,"0","0","1","1","1","1","0","1","1","0","1","1","1","1"
"37","00038000","00038000",787,"1","0","0","1","0","0","0","0","0","0","1","1","0","1"
"38","00039000","00039000",787,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"39","00040000","00040000",787,"1","0","1","1","0","0","0","1","0","1","1","0","1","1"
"40","00042000","00042000",787,"0","0","0","1","1","1","0","1","1","1","1","1","0","2"
"41","00043000","00043000",787,"0","1","0","1","1","1","0","1","1","1","1","1","0","2"
"42","00044000","00044000",787,"0","0","1","1","1","1","0","1","1","1","1","1","0","3"
"43","00044003","00044000",787,"0","1","1","1","1","1","0","1","1","1","1","1","1","1"
"44","00046000","00046000",2256,"0","0","0","1","0","0","0","1","0","1","1","1","1","3"
"45","00046003","00046000",2256,"0","0","0","0","0","0","0","1","1","1","1","1","0","1"
"46","00047000","00047000",2256,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"47","00048000","00048000",2256,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"48","00048007","00048000",2256,"0","1","0","1","1","1","0","1","1","1","1","1","1","1"
"49","00051000","00051000",2256,"1","1","0","1","0","1","0","1","0","1","1","1","1","3"
"50","00052000","00052000",2256,"1","1","0","1","1","1","0","1","1","1","1","0","1","3"
"51","00052006","00052000",2256,"0","1","0","1","1","1","1","1","1","1","1","0","1","3"
"52","00054000","00054000",2256,"0","0","0","1","1","1","1","1","0","1","1","1","1","3"
"53","00054003","00054000",2256,"0","0","1","1","1","1","1","1","0","1","1","1","1","1"
"54","00054005","00054000",2256,"0","1","0","1","1","1","1","1","1","1","1","1","1","2"
"55","00054011","00054000",2256,"0","1","0","1","0","1","0","1","0","1","1","1","1","1"
"56","00058000","00058000",2307,"0","0","0","1","1","1","1","1","1","1","1","1","0","3"
"57","00059000","00059000",2307,"0","0","0","1","0","1","0","1","1","1","1","0","1","2"
"58","00061000","00061000",2307,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"59","00062000","00062000",2307,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"60","00067000","00067000",3886,"0","1","1","1","1","1","0","1","1","1","1","1","1","3"
"61","00068000","00068000",3886,"0","0","0","1","0","1","0","0","0","1","1","1","1","2"
"62","00069000","00069000",3886,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"63","00070000","00070000",3886,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"64","00072000","00072000",3886,"0","0","1","1","1","1","0","1","1","1","1","1","1","2"
"65","00073000","00073000",2506,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"66","00074000","00074000",2506,"1","1","1","1","1","1","0","1","1","1","1","1","1","3"
"67","00075000","00075000",2506,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"68","00077000","00077000",2506,"1","0","1","1","1","1","0","1","1","1","1","1","1","3"
"69","00081000","00081000",2506,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"70","00083000","00083000",3674,"0","0","0","1","1","1","0","0","0","0","1","1","0","2"
"71","00084000","00084000",3674,"0","0","0","1","1","1","0","0","0","0","1","0","1","1"
"72","00085000","00085000",3674,"0","0","0","1","0","1","0","0","0","0","1","1","1","2"
"73","00088000","00088000",3674,"0","0","0","1","1","1","0","0","0","1","1","1","0","3"
"74","00088003","00088000",3674,"0","0","1","1","1","1","0","0","0","0","1","1","0","2"
"75","00089000","00089000",3674,"0","1","1","1","1","1","1","1","1","1","1","1","1","3"
"76","00091000","00091000",2316,"0","0","0","1","1","1","0","1","0","1","1","1","0","3"
"77","00092000","00092000",2316,"1","1","1","1","1","1","0","0","0","1","1","1","0","1"
"78","00093000","00093000",2316,"0","0","0","1","1","1","0","0","0","0","1","0","0","2"
"79","00093001","00093000",2316,"1","0","1","1","1","0","0","1","1","1","1","1","1","3"
"80","00094000","00094000",2316,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"81","00095000","00095000",2316,"0","0","0","1","1","1","0","1","1","1","1","0","0","1"
"82","00096000","00096000",2316,"0","0","0","1","1","1","0","0","0","1","1","1","0","1"
"83","00097000","00097000",2316,"0","1","0","1","1","1","0","0","0","0","1","1","0","2"
