"","folio","ah03b","fac_2l","ah03c","ah03d","ah03d1","ah03e","ah03f","ah03g","ah03h","cvo06_1","cvo07_1","cvo05_1","cvo04","cv08_1","cv16","cv07"
"1","000010AP00","0",2471,"0","0","0","1","1","0","0","1","1","1","1","1","1","2"
"2","000010BP03","0",2471,"0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"3","000020AP00","0",2471,"1","0","0","1","1","1","0","1","1","1","1","1","1","2"
"4","000020CP03","1",2471,"0","1","0","1","1","1","0","1","1","1","1","1","1","2"
"5","000030AP00","1",2471,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"6","000040AP00","0",2471,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"7","000060AP00","0",2471,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"8","000070AP00","0",2471,"1","0","0","1","1","1","0","1","1","1","1","1","1","2"
"9","000080AP00","1",2471,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"10","000100AP00","0",1431,"1","0","0","0","0","0","0","0","0","0","1","0","1","1"
"11","000100CP02","0",1431,"1","0","0","1","0","0","0","0","0","0","1","0","1","1"
"12","000100CP03","0",1431,"0","0","0","1","0","1","0","1","0","1","1","1","1","1"
"13","000110AP00","0",1431,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"14","000120AP00","1",1431,"1","0","0","1","0","1","0","1","1","1","1","1","1","1"
"15","000130AP00","0",1431,"0","0","0","0","1","1","0","0","0","1","1","1","1","2"
"16","000140AP00","0",1431,"0","0","0","1","1","1","0","1","0","0","1","1","0","1"
"17","000160AP00","0",1431,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"18","000170AP00","0",1431,"0","1","1","1","0","1","0","1","1","1","1","1","1","3"
"19","000180AP00","0",1431,"1","0","0","1","1","1","0","1","1","1","1","1","0","2"
"20","000190AP00","0",1030,"0","0","0","1","1","1","0","1","1","1","1","1","0","1"
"21","000210AP00","0",1030,"1","1","0","1","1","1","0","1","1","1","1","1","1","2"
"22","000220AP00","1",1030,"0","0","0","1","1","0","0","1","1","1","1","1","1","1"
"23","000230AP00","0",1030,"0","0","0","1","1","1","0","1","1","1","1","1","1","3"
"24","000230CP06","0",1030,"0","0","0","1","1","1","0","1","1","1","1","1","0","1"
"25","000240AP00","0",1030,"1","0","0","1","1","1","0","1","1","1","1","1","1","2"
"26","000250AP00","1",1030,"0","1","0","1","0","1","0","1","1","1","1","1","0","3"
"27","000250BP04","0",1030,"1","0","0","1","1","1","0","0","0","1","1","1","0","1"
"28","000250BP06","1",1030,"1","0","0","1","0","1","0","1","1","0","1","1","0","1"
"29","000250CP05","0",1030,"0","0","1","1","0","1","0","1","1","1","1","1","1","1"
"30","000260AP00","0",1030,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"31","000270AP00","1",1030,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"32","000280AP00","0",1030,"1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"33","000290AP00","0",1030,"0","0","0","1","1","1","0","1","1","1","1","1","1","2"
"34","000300AP00","1",1030,"1","1","0","1","1","1","0","1","1","1","1","1","1","3"
"35","000340AP00","0",1030,"1","0","0","1","1","1","0","1","1","1","1","1","1","2"
"36","000340CP05","0",1030,"0","0","1","1","1","1","1","0","0","0","0","0","0","3"
"37","000350AP00","0",1030,"1","0","1","1","1","1","0","1","1","0","1","1","1","3"
"38","000350CP04","0",1030,"1","0","0","1","0","0","0","1","1","1","1","1","1","1"
"39","000350CP05","1",1030,"1","0","0","1","1","1","0","1","1","1","1","1","1","1"
"40","000350CP07","0",1030,"1","1","0","1","1","0","0","1","0","0","1","0","0","1"
"41","000350CP09","0",1030,"0","0","0","1","0","1","0","0","1","1","1","1","1","1"
"42","000370AP00","1",794,"0","1","0","1","1","1","0","1","1","1","1","1","1","3"
"43","000370BP05","0",794,"1","0","1","1","1","1","0","1","1","1","1","1","1","1"
"44","000370CP04","0",794,"1","1","0","1","1","1","1","1","1","1","1","1","1","1"
"45","000370CP07","0",794,"0","0","0","1","1","1","0","1","1","1","1","1","1","1"
"46","000380AP00","0",794,"1","0","0","1","0","1","0","1","0","1","1","0","0","1"
"47","000390AP00","0",794,"1","0","0","1","1","1","0","1","1","1","1","1","1","3"
"48","000400AP00","0",794,"0","0","0","0","0","0","0","1","0","1","1","1","1","1"
